,Acronym,Snomed_CT,Diagnostic_Snomed_CT,Details,Superclass_ID,Superclass,Motivo,Fonte,CPSC,Chapman-Shaoxing-Ningbo,CPSC-Extra,PTB,PTBxl,G12EC
,CIAHB,204384007,Congenital incomplete atrioventricular heart block,Congenital incomplete atrioventricular heart block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,1,0,1
,CLBBB,164909002,EKG: left bundle branch block,Electrocardiographic left bundle branch block (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",1,1,1,0,1,1
,CMI,413844008,Chronic myocardial ischemia,Chronic myocardial ischemia (disorder),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,CR,251198002,Clockwise cardiac rotation,Clockwise cardiac rotation (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,0
,CRBBB,713427006,EKG: complete right bundle branch block,Electrocardiographic complete right bundle branch block (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,DIB,82226007,Diffuse intraventricular block,Diffuse intraventricular block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,ERV,428417006,Early repolarization,Early repolarization (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,0,0,1
,FQRS,164942001,ECG: F wave present,Electrocardiogram: F wave present (finding),OTHER_CARDIAC,Other Cardiac Disease,O código SNOMED representa condição cardíaca estrutural ou clínica não especificada primariamente como padrão eletrocardiográfico isolado; deve ser mantido como classe clínica separada para evitar mistura com layers morfológicas do ECG.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,1,0,0,0,0
,HF,84114007,Heart failure,Heart failure (disorder),OTHER_CARDIAC,Other Cardiac Disease,O código SNOMED representa condição cardíaca estrutural ou clínica não especificada primariamente como padrão eletrocardiográfico isolado; deve ser mantido como classe clínica separada para evitar mistura com layers morfológicas do ECG.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,0,0,1,0,1
,HTV,251259000,High T-voltage,High T-voltage (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,HVD,368009,Heart valve disorder,Heart valve disorder (disorder),OTHER_CARDIAC,Other Cardiac Disease,O código SNOMED representa condição cardíaca estrutural ou clínica não especificada primariamente como padrão eletrocardiográfico isolado; deve ser mantido como classe clínica separada para evitar mistura com layers morfológicas do ECG.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,0,0,1,0,1
,HYP,266249003,Ventricular hypertrophy,Ventricular hypertrophy (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,1,1,1
,ILBBB,251120003,Incomplete left bundle branch block,Incomplete left bundle branch block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,INVT,59931005,Inverted T wave,Inverted T wave (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,IR,49260003,Idioventricular rhythm,Idioventricular rhythm (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,IRBBB,713426002,EKG: Incomplete right bundle branch block,Electrocardiographic incomplete right bundle branch block (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,ISC_,164861001,EKG myocardial ischemia,Electrocardiographic myocardial ischemia (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,ISCA,426434006,EKG: anterior ischemia,Electrocardiographic anterior ischemia (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,1,1
,ISCI,425419005,EKG: inferior ischemia,Electrocardiographic inferior ischemia (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,1,1
,ISCLA,425623009,EKG: lateral ischemia,Electrocardiographic lateral ischemia (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,1,1
,ISTD,704997005,Inferior ST segment depression,Inferior ST segment depression (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,IVCB,698252002,Non-specific intraventricular conduction delay,Non-specific intraventricular conduction delay (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,JEB,426995002,EKG: junctional escape rhythm,Electrocardiographic junctional escape rhythm (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,0,1
,JPT,251164006,Junctional premature complex,Junctional premature complex (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,0,1
,JTach,426648003,ECG: junctional tachycardia,Electrocardiogram: junctional tachycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,LAA,253352002,Left atrial abnormality,Left atrial abnormality (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,0,1
,LAFB,445118002,Left anterior fascicular block on electrocardiogram,Left anterior fascicular block on electrocardiogram (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,1,1
,LAH,446813000,Left atrial hypertrophy,Left atrial hypertrophy (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,LAO/LAE,67741000119109,Left atrial enlargement,Left atrial enlargement (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,LNGQT,111975006,Prolonged QT interval,Prolonged QT interval (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,LOWT,164934002,EKG: T wave abnormal,Electrocardiographic T wave abnormal (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,LPFB,445211001,Left posterior fascicular block on electrocardiogram,Left posterior fascicular block on electrocardiogram (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,1,1
,LPR,164947007,Prolonged PR interval,Prolonged PR interval (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,0,1,1
,LVH,164873001,EKG:left ventricle hypertrophy,Electrocardiographic left ventricle hypertrophy (finding),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,LVOLT,251146004,Low QRS voltages,Low QRS voltages (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,1,1
,LVQRSCL,251148003,Low QRS voltages in the precordial leads,Low QRS voltages in the precordial leads (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,1
,LVQRSLL,251147008,Low QRS voltages in the limb leads,Low QRS voltages in the limb leads (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,1
,LVS,370365005,EKG: left ventricular strain,Electrocardiographic left ventricular strain (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,NORM,426783006,ECG: sinus rhythm,Electrocardiogram: sinus rhythm (finding),NORM,Normal ECG,O código SNOMED descreve ritmo sinusal/ECG normal sem alteração diagnóstica; essa classe corresponde à categoria NORM usada como superclasse diagnóstica em ECG/ML.,"AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",1,1,1,1,1,1
